assessment_name,url,description,test_type,category
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,,K,General
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,,K,General
OPQ Universal Competency Report 1.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,,K,General
OPQ Universal Competency Report 2.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,,K,General
OPQ User and Managers Report,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/,,K,General
OPQ User Report,https://www.shl.com/products/product-catalog/view/opq-user-report/,,K,General
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,,K,General
Oracle DBA (Entry Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,,K,General
Oracle PL/SQL (New),https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,,K,General
Oracle WebLogic Server (New),https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,,K,General
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,,K,General
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new/,,K,General
Pediatrics (New),https://www.shl.com/products/product-catalog/view/pediatrics-new/,,K,General
Pega Development (New),https://www.shl.com/products/product-catalog/view/pega-development-new/,,K,General
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,,K,General
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,,K,General
Petroleum Engineering (New),https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,,K,General
Pharmaceutical Analysis (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,,K,General
Pharmaceutical Chemistry (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,,K,General
Pharmaceutical Science (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,,K,General
Pharmaceutics (New),https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,,K,General
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new/,,K,General
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,,K,General
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report/,,K,General
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,,K,General
Polymer Engineering (New),https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,,K,General
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,,K,General
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,,K,General
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new/,,K,General
Production and Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,,K,General
Production Engineering (New),https://www.shl.com/products/product-catalog/view/production-engineering-new/,,K,General
Programming Concepts,https://www.shl.com/products/product-catalog/view/programming-concepts/,,K,General
Project Management (2013),https://www.shl.com/products/product-catalog/view/project-management-2013/,,K,General
Proofreading v1,https://www.shl.com/products/product-catalog/view/proofreading-v1/,,K,General
Python (New),https://www.shl.com/products/product-catalog/view/python-new/,,K,General
R Programming (New),https://www.shl.com/products/product-catalog/view/r-programming-new/,,K,General
ReactJS (New),https://www.shl.com/products/product-catalog/view/reactjs-new/,,K,General
Reading Comprehension - English v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,,K,General
Reading Comprehension - Spanish v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,,K,General
Reading Comprehension v2,https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/,,K,General
RemoteWorkQ,https://www.shl.com/products/product-catalog/view/remoteworkq/,,K,General
RemoteWorkQ Manager Report,https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/,,K,General
RemoteWorkQ Participant Report,https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/,,K,General
RESTful Web Services (New),https://www.shl.com/products/product-catalog/view/restful-web-services-new/,,K,General
Retail Sales and Service Simulation,https://www.shl.com/products/product-catalog/view/retail-sales-and-service-simulation/,,K,General
